Program "PAW_protein_grouper.py" run on Fri Feb  8 15:55:01 2019


	=SUBTOTAL(109,B6:B5432)													Total	Unique	Corrected
4891	1	sp|Q9JM76|ARPC3_MOUSE	 	 	 	 	20.2	178	20524	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3	12	12	1.000	12	12	12.000
4892	1	sp|Q9JM90|STAP1_MOUSE	 	 	 	 	31.3	297	34627	Signal-transducing adaptor protein 1 OS=Mus musculus OX=10090 GN=Stap1 PE=1 SV=1	9	9	1.000	9	9	9.000
4893	1	sp|Q9JM96|BORG4_MOUSE	 	 	 	 	8.9	349	37869	Cdc42 effector protein 4 OS=Mus musculus OX=10090 GN=Cdc42ep4 PE=1 SV=1	2	2	1.000	2	2	2.000
4894	1	sp|Q9JMA1|UBP14_MOUSE	 	 	 	 	56.8	493	56001	Ubiquitin carboxyl-terminal hydrolase 14 OS=Mus musculus OX=10090 GN=Usp14 PE=1 SV=3	46	46	1.000	46	46	46.000
4895	1	sp|Q9JMA2|TGT_MOUSE	 	 	 	 	8.2	403	44092	Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Mus musculus OX=10090 GN=Qtrt1 PE=1 SV=2	4	4	1.000	4	4	4.000
4896	1	sp|Q9JMD0|ZN207_MOUSE	 	 	 	 	7.5	495	52792	BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Mus musculus OX=10090 GN=Znf207 PE=1 SV=1	9	9	1.000	9	9	9.000
4897	1	sp|Q9JME7|TPC2L_MOUSE	 	 	 	 	22.3	139	16018	Trafficking protein particle complex subunit 2-like protein OS=Mus musculus OX=10090 GN=Trappc2l PE=1 SV=1	3	3	1.000	3	3	3.000
4898	1	sp|Q9JMG1|EDF1_MOUSE	 	 	 	 	27.0	148	16369	Endothelial differentiation-related factor 1 OS=Mus musculus OX=10090 GN=Edf1 PE=1 SV=1	7	7	1.000	7	7	7.000
4899	1	sp|Q9JMH6|TRXR1_MOUSE	 	 	sp|Q9JLT4|TRXR2_MOUSE, sp|Q9JMH6|TRXR1_MOUSE	 	34.6	613	67083	Thioredoxin reductase 1, cytoplasmic OS=Mus musculus OX=10090 GN=Txnrd1 PE=1 SV=3	29	26	0.897	29	26	28.786
4900	1	sp|Q9JMH9|MY18A_MOUSE	 	 	 	 	17.3	2050	232752	Unconventional myosin-XVIIIa OS=Mus musculus OX=10090 GN=Myo18a PE=1 SV=2	33	33	1.000	33	33	33.000
4901	1	sp|Q9QUG9|GRP2_MOUSE	 	 	 	 	10.2	608	69445	RAS guanyl-releasing protein 2 OS=Mus musculus OX=10090 GN=Rasgrp2 PE=1 SV=2	8	8	1.000	8	8	8.000
4902	1	sp|Q9QUH0|GLRX1_MOUSE	 	 	 	 	56.1	107	11871	Glutaredoxin-1 OS=Mus musculus OX=10090 GN=Glrx PE=1 SV=3	36	36	1.000	36	36	36.000
4904	1	sp|Q9QUJ7|ACSL4_MOUSE	 	 	sp|Q9CZW4|ACSL3_MOUSE, sp|Q9QUJ7|ACSL4_MOUSE	 	40.2	711	79076	Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus OX=10090 GN=Acsl4 PE=1 SV=2	29	28	0.966	29	28	28.848
4905	1	sp|Q9QUK4|BIR1B_MOUSE	 	 	 	 	5.6	1447	164082	Baculoviral IAP repeat-containing protein 1b OS=Mus musculus OX=10090 GN=Naip2 PE=1 SV=2	10	10	1.000	10	10	10.000
4906	1	sp|Q9QUK6|TLR4_MOUSE	 	 	 	 	3.2	835	95518	Toll-like receptor 4 OS=Mus musculus OX=10090 GN=Tlr4 PE=1 SV=1	4	4	1.000	4	4	4.000
4907	1	sp|Q9QUM0|ITA2B_MOUSE	 	 	 	 	14.7	1033	112677	Integrin alpha-IIb OS=Mus musculus OX=10090 GN=Itga2b PE=1 SV=2	17	17	1.000	17	17	17.000
4908	1	sp|Q9QUM9|PSA6_MOUSE	 	 	 	 	54.5	246	27372	Proteasome subunit alpha type-6 OS=Mus musculus OX=10090 GN=Psma6 PE=1 SV=1	47	47	1.000	47	47	47.000
4909	1	sp|Q9QUN7|TLR2_MOUSE	 	 	 	 	16.6	784	89448	Toll-like receptor 2 OS=Mus musculus OX=10090 GN=Tlr2 PE=1 SV=1	15	15	1.000	15	15	15.000
4910	1	sp|Q9QUP5|HPLN1_MOUSE	 	 	 	 	29.5	356	40477	Hyaluronan and proteoglycan link protein 1 OS=Mus musculus OX=10090 GN=Hapln1 PE=1 SV=1	11	11	1.000	11	11	11.000
4911	1	sp|Q9QUR6|PPCE_MOUSE	 	 	 	 	49.0	710	80751	Prolyl endopeptidase OS=Mus musculus OX=10090 GN=Prep PE=1 SV=1	52	52	1.000	52	52	52.000
4912	1	sp|Q9QUR7|PIN1_MOUSE	 	 	 	 	64.2	165	18370	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Mus musculus OX=10090 GN=Pin1 PE=1 SV=1	9	9	1.000	9	9	9.000
4913	1	sp|Q9QVP9|FAK2_MOUSE	 	 	 	 	26.2	1009	115793	Protein-tyrosine kinase 2-beta OS=Mus musculus OX=10090 GN=Ptk2b PE=1 SV=2	37	37	1.000	37	37	37.000
4914	1	sp|Q9QWF0|CAF1A_MOUSE	 	 	 	 	6.4	911	101934	Chromatin assembly factor 1 subunit A OS=Mus musculus OX=10090 GN=Chaf1a PE=1 SV=1	6	6	1.000	6	6	6.000
4915	1	sp|Q9QWR8|NAGAB_MOUSE	 	 	 	 	27.7	415	47234	Alpha-N-acetylgalactosaminidase OS=Mus musculus OX=10090 GN=Naga PE=1 SV=2	17	17	1.000	17	17	17.000
4916	1	sp|Q9QWV9|CCNT1_MOUSE	 	 	sp|Q7TQK0|CCNT2_MOUSE, sp|Q9QWV9|CCNT1_MOUSE	 	10.9	724	80597	Cyclin-T1 OS=Mus musculus OX=10090 GN=Ccnt1 PE=1 SV=3	5	4	0.800	5	4	4.800
4917	1	sp|Q9QWY8|ASAP1_MOUSE	 	 	 	 	13.5	1147	127420	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Asap1 PE=1 SV=2	15	15	1.000	15	15	15.000
4918	1	sp|Q9QX11|CYH1_MOUSE	 	 	sp|O08967|CYH3_MOUSE, sp|P63034|CYH2_MOUSE, sp|Q80YW0|CYH4_MOUSE, sp|Q9QX11|CYH1_MOUSE	 	9.8	398	46273	Cytohesin-1 OS=Mus musculus OX=10090 GN=Cyth1 PE=1 SV=2	4	1	0.250	4	1	1.917
4919	1	sp|Q9QX47|SON_MOUSE	 	 	 	 	9.6	2444	265649	Protein SON OS=Mus musculus OX=10090 GN=Son PE=1 SV=2	17	17	1.000	17	17	17.000
4920	1	sp|Q9QXA5|LSM4_MOUSE	 	 	 	 	37.2	137	15076	U6 snRNA-associated Sm-like protein LSm4 OS=Mus musculus OX=10090 GN=Lsm4 PE=1 SV=1	11	11	1.000	11	11	11.000
4921	1	sp|Q9QXB9|DRG2_MOUSE	 	 	 	 	20.9	364	40718	Developmentally-regulated GTP-binding protein 2 OS=Mus musculus OX=10090 GN=Drg2 PE=1 SV=1	10	10	1.000	10	10	10.000
4922	1	sp|Q9QXD6|F16P1_MOUSE	 	 	 	 	49.7	338	36912	Fructose-1,6-bisphosphatase 1 OS=Mus musculus OX=10090 GN=Fbp1 PE=1 SV=3	20	20	1.000	20	20	20.000
4923	1	sp|Q9QXD8|LIMD1_MOUSE	 	 	 	 	4.9	668	71421	LIM domain-containing protein 1 OS=Mus musculus OX=10090 GN=Limd1 PE=1 SV=2	3	3	1.000	3	3	3.000
4924	1	sp|Q9QXE0|HACL1_MOUSE	 	 	 	 	5.9	581	63660	2-hydroxyacyl-CoA lyase 1 OS=Mus musculus OX=10090 GN=Hacl1 PE=1 SV=2	3	3	1.000	3	3	3.000
4925	1	sp|Q9QXE2|DPOLL_MOUSE	 	 	 	 	3.5	573	62942	DNA polymerase lambda OS=Mus musculus OX=10090 GN=Poll PE=2 SV=1	2	2	1.000	2	2	2.000
4926	1	sp|Q9QXE7|TBL1X_MOUSE	 	 	sp|Q8BHJ5|TBL1R_MOUSE, sp|Q9QXE7|TBL1X_MOUSE	 	24.5	527	56802	F-box-like/WD repeat-containing protein TBL1X OS=Mus musculus OX=10090 GN=Tbl1x PE=1 SV=2	9	5	0.556	9	5	6.538
4927	1	sp|Q9QXG2|RAE1_MOUSE	 	 	 	 	11.6	665	73976	Rab proteins geranylgeranyltransferase component A 1 OS=Mus musculus OX=10090 GN=Chm PE=1 SV=1	6	6	1.000	6	6	6.000
4928	1	sp|Q9QXG4|ACSA_MOUSE	 	 	 	 	12.6	701	78861	Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus OX=10090 GN=Acss2 PE=1 SV=2	8	8	1.000	8	8	8.000
4929	1	sp|Q9QXK2|RAD18_MOUSE	 	 	 	 	14.5	509	57412	E3 ubiquitin-protein ligase RAD18 OS=Mus musculus OX=10090 GN=Rad18 PE=1 SV=2	5	5	1.000	5	5	5.000
4930	1	sp|Q9QXK3|COPG2_MOUSE	 	 	 	 	25.0	871	97679	Coatomer subunit gamma-2 OS=Mus musculus OX=10090 GN=Copg2 PE=1 SV=1	22	22	1.000	22	22	22.000
4931	1	sp|Q9QXK7|CPSF3_MOUSE	 	 	 	 	19.9	684	77504	Cleavage and polyadenylation specificity factor subunit 3 OS=Mus musculus OX=10090 GN=Cpsf3 PE=1 SV=2	14	14	1.000	14	14	14.000
4932	1	sp|Q9QXL1|KI21B_MOUSE	 	 	 	 	2.3	1668	186178	Kinesin-like protein KIF21B OS=Mus musculus OX=10090 GN=Kif21b PE=1 SV=2	4	4	1.000	4	4	4.000
4933	1	sp|Q9QXN3|TRIP4_MOUSE	 	 	 	 	9.1	581	66197	Activating signal cointegrator 1 OS=Mus musculus OX=10090 GN=Trip4 PE=1 SV=2	3	3	1.000	3	3	3.000
4934	1	sp|Q9QXS1|PLEC_MOUSE	 	 	sp|Q8R0W0|EPIPL_MOUSE, sp|Q9QXS1|PLEC_MOUSE, sp|Q9QXZ0|MACF1_MOUSE	 	46.8	4691	534181	Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3	306	302	0.987	306	302	305.802
4935	1	sp|Q9QXT0|CNPY2_MOUSE	 	 	 	 	42.3	182	20767	Protein canopy homolog 2 OS=Mus musculus OX=10090 GN=Cnpy2 PE=1 SV=1	10	10	1.000	10	10	10.000
4936	1	sp|Q9QXT1|DAPP1_MOUSE	 	 	 	 	25.0	280	32167	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide OS=Mus musculus OX=10090 GN=Dapp1 PE=1 SV=1	5	5	1.000	5	5	5.000
4937	1	sp|Q9QXV1|CBX8_MOUSE	 	 	 	 	6.4	362	39859	Chromobox protein homolog 8 OS=Mus musculus OX=10090 GN=Cbx8 PE=1 SV=1	2	2	1.000	2	2	2.000
4938	1	sp|Q9QXW9|LAT2_MOUSE	 	 	 	 	7.2	531	57872	Large neutral amino acids transporter small subunit 2 OS=Mus musculus OX=10090 GN=Slc7a8 PE=1 SV=1	3	3	1.000	3	3	3.000
4939	1	sp|Q9QXX4|CMC2_MOUSE	 	 	sp|Q8BH59|CMC1_MOUSE, sp|Q9QXX4|CMC2_MOUSE	 	20.9	676	74466	Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus OX=10090 GN=Slc25a13 PE=1 SV=1	17	11	0.647	17	11	12.737
4940	1	sp|Q9QXY6|EHD3_MOUSE	 	 	sp|Q9EQP2|EHD4_MOUSE, sp|Q9QXY6|EHD3_MOUSE, sp|Q9WVK4|EHD1_MOUSE	 	24.9	535	60820	EH domain-containing protein 3 OS=Mus musculus OX=10090 GN=Ehd3 PE=1 SV=2	27	2	0.074	27	2	2.894
4941	1	sp|Q9QXY9|PEX3_MOUSE	 	 	 	 	18.0	372	42223	Peroxisomal biogenesis factor 3 OS=Mus musculus OX=10090 GN=Pex3 PE=1 SV=1	4	4	1.000	4	4	4.000
4942	1	sp|Q9QXZ0|MACF1_MOUSE	 	 	sp|Q9QXS1|PLEC_MOUSE, sp|Q9QXZ0|MACF1_MOUSE	 	10.3	7354	831868	Microtubule-actin cross-linking factor 1 OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=2	71	70	0.986	71	70	70.188
4943	1	sp|Q9QY06|MYO9B_MOUSE	 	 	 	 	14.9	2114	238831	Unconventional myosin-IXb OS=Mus musculus OX=10090 GN=Myo9b PE=1 SV=2	28	28	1.000	28	28	28.000
4944	1	sp|Q9QY24|ZBP1_MOUSE	 	 	 	 	22.9	411	44331	Z-DNA-binding protein 1 OS=Mus musculus OX=10090 GN=Zbp1 PE=1 SV=1	12	12	1.000	12	12	12.000
4945	1	sp|Q9QY36|NAA10_MOUSE	 	 	sp|Q9QY36|NAA10_MOUSE, tr|Q9CQX6|Q9CQX6_MOUSE	 	43.8	235	26519	N-alpha-acetyltransferase 10 OS=Mus musculus OX=10090 GN=Naa10 PE=1 SV=1	12	5	0.417	12	5	7.917
4946	1	sp|Q9QY73|TMM59_MOUSE	 	 	 	 	10.8	323	36313	Transmembrane protein 59 OS=Mus musculus OX=10090 GN=Tmem59 PE=1 SV=2	3	3	1.000	3	3	3.000
4947	1	sp|Q9QY76|VAPB_MOUSE	 	 	sp|Q9QY76|VAPB_MOUSE, sp|Q9WV55|VAPA_MOUSE	 	28.4	243	26946	Vesicle-associated membrane protein-associated protein B OS=Mus musculus OX=10090 GN=Vapb PE=1 SV=3	9	5	0.556	9	5	6.250
4948	1	sp|Q9QY81|PO210_MOUSE	 	 	 	 	22.3	1886	204098	Nuclear pore membrane glycoprotein 210 OS=Mus musculus OX=10090 GN=Nup210 PE=1 SV=2	45	45	1.000	45	45	45.000
4949	1	sp|Q9QY93|DCTP1_MOUSE	 	 	 	 	19.4	170	18795	dCTP pyrophosphatase 1 OS=Mus musculus OX=10090 GN=Dctpp1 PE=1 SV=1	4	4	1.000	4	4	4.000
4950	1	sp|Q9QYA2|TOM40_MOUSE	 	 	 	 	31.0	361	37895	Mitochondrial import receptor subunit TOM40 homolog OS=Mus musculus OX=10090 GN=Tomm40 PE=1 SV=3	19	19	1.000	19	19	19.000
4951	1	sp|Q9QYB1|CLIC4_MOUSE	 	 	 	 	34.8	253	28729	Chloride intracellular channel protein 4 OS=Mus musculus OX=10090 GN=Clic4 PE=1 SV=3	11	11	1.000	11	11	11.000
4952	1	sp|Q9QYB2|DACH1_MOUSE	 	 	 	 	3.3	751	77971	Dachshund homolog 1 OS=Mus musculus OX=10090 GN=Dach1 PE=1 SV=1	2	2	1.000	2	2	2.000
4953	1	sp|Q9QYB5|ADDG_MOUSE	 	 	 	 	12.0	706	78776	Gamma-adducin OS=Mus musculus OX=10090 GN=Add3 PE=1 SV=2	13	13	1.000	13	13	13.000
4954	1	sp|Q9QYB8|ADDB_MOUSE	 	 	sp|Q9QYB8|ADDB_MOUSE, sp|Q9QYC0|ADDA_MOUSE	 	2.5	725	80641	Beta-adducin OS=Mus musculus OX=10090 GN=Add2 PE=1 SV=4	2	1	0.500	2	1	1.056
4955	1	sp|Q9QYC0|ADDA_MOUSE	 	 	sp|Q9QYB8|ADDB_MOUSE, sp|Q9QYC0|ADDA_MOUSE	 	28.7	735	80646	Alpha-adducin OS=Mus musculus OX=10090 GN=Add1 PE=1 SV=2	18	17	0.944	18	17	17.944
4956	1	sp|Q9QYE6|GOGA5_MOUSE	 	 	 	 	15.6	729	82367	Golgin subfamily A member 5 OS=Mus musculus OX=10090 GN=Golga5 PE=1 SV=2	14	14	1.000	14	14	14.000
4957	1	sp|Q9QYF1|RDH11_MOUSE	 	 	 	 	21.5	316	35147	Retinol dehydrogenase 11 OS=Mus musculus OX=10090 GN=Rdh11 PE=1 SV=2	7	7	1.000	7	7	7.000
4958	1	sp|Q9QYF9|NDRG3_MOUSE	 	 	 	 	10.1	375	41555	Protein NDRG3 OS=Mus musculus OX=10090 GN=Ndrg3 PE=1 SV=1	6	6	1.000	6	6	6.000
4959	1	sp|Q9QYG0|NDRG2_MOUSE	 	 	 	 	14.8	371	40789	Protein NDRG2 OS=Mus musculus OX=10090 GN=Ndrg2 PE=1 SV=1	3	3	1.000	3	3	3.000
4960	1	sp|Q9QYI3|DNJC7_MOUSE	 	 	 	 	37.7	494	56475	DnaJ homolog subfamily C member 7 OS=Mus musculus OX=10090 GN=Dnajc7 PE=1 SV=2	29	29	1.000	29	29	29.000
4961	1	sp|Q9QYI4|DJB12_MOUSE	 	 	 	 	16.5	376	41987	DnaJ homolog subfamily B member 12 OS=Mus musculus OX=10090 GN=Dnajb12 PE=1 SV=2	5	5	1.000	5	5	5.000
4962	1	sp|Q9QYI5|DNJB2_MOUSE	 	 	sp|O54946|DNJB6_MOUSE, sp|Q9QYI5|DNJB2_MOUSE	 	6.8	324	35593	DnaJ homolog subfamily B member 2 OS=Mus musculus OX=10090 GN=Dnajb2 PE=1 SV=3	3	1	0.333	3	1	1.222
4963	1	sp|Q9QYJ0|DNJA2_MOUSE	 	 	 	 	24.5	412	45745	DnaJ homolog subfamily A member 2 OS=Mus musculus OX=10090 GN=Dnaja2 PE=1 SV=1	18	18	1.000	18	18	18.000
4964	1	sp|Q9QYJ3|DNJB1_MOUSE	 	 	sp|Q9D832|DNJB4_MOUSE, sp|Q9QYJ3|DNJB1_MOUSE	 	19.7	340	38167	DnaJ homolog subfamily B member 1 OS=Mus musculus OX=10090 GN=Dnajb1 PE=1 SV=3	12	9	0.750	12	9	10.800
4965	1	sp|Q9QYL7|ABT1_MOUSE	 	 	 	 	6.3	269	30658	Activator of basal transcription 1 OS=Mus musculus OX=10090 GN=Abt1 PE=2 SV=1	2	2	1.000	2	2	2.000
4966	1	sp|Q9QYS9|QKI_MOUSE	 	 	 	 	30.2	341	37670	Protein quaking OS=Mus musculus OX=10090 GN=Qki PE=1 SV=1	11	11	1.000	11	11	11.000
4967	1	sp|Q9QYY8|SPAST_MOUSE	 	 	 	 	12.4	614	66455	Spastin OS=Mus musculus OX=10090 GN=Spast PE=1 SV=3	6	6	1.000	6	6	6.000
4968	1	sp|Q9QZ06|TOLIP_MOUSE	 	 	 	 	34.3	274	30345	Toll-interacting protein OS=Mus musculus OX=10090 GN=Tollip PE=1 SV=1	13	13	1.000	13	13	13.000
4969	1	sp|Q9QZ08|NAGK_MOUSE	 	 	 	 	31.2	343	37268	N-acetyl-D-glucosamine kinase OS=Mus musculus OX=10090 GN=Nagk PE=1 SV=3	7	7	1.000	7	7	7.000
4970	1	sp|Q9QZ15|CLC4A_MOUSE	 	 	sp|Q9QZ15|CLC4A_MOUSE, tr|Q80UI7|Q80UI7_MOUSE, tr|Q8JZX6|Q8JZX6_MOUSE	 	28.2	238	27323	C-type lectin domain family 4 member A OS=Mus musculus OX=10090 GN=Clec4a PE=1 SV=1	7	6	0.857	7	6	6.545
4971	1	sp|Q9QZ23|NFU1_MOUSE	 	 	 	 	25.1	255	28567	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Mus musculus OX=10090 GN=Nfu1 PE=1 SV=2	10	10	1.000	10	10	10.000
4972	1	sp|Q9QZ47|TNNT3_MOUSE	 	 	 	 	11.4	272	32240	Troponin T, fast skeletal muscle OS=Mus musculus OX=10090 GN=Tnnt3 PE=1 SV=3	2	2	1.000	2	2	2.000
4973	1	sp|Q9QZ73|DCNL1_MOUSE	 	 	 	 	15.4	259	30097	DCN1-like protein 1 OS=Mus musculus OX=10090 GN=Dcun1d1 PE=2 SV=1	7	7	1.000	7	7	7.000
4974	1	sp|Q9QZ82|CP11A_MOUSE	 	 	 	 	18.6	526	60314	Cholesterol side-chain cleavage enzyme, mitochondrial OS=Mus musculus OX=10090 GN=Cyp11a1 PE=1 SV=1	7	7	1.000	7	7	7.000
4975	1	sp|Q9QZ85|IIGP1_MOUSE	 	 	 	 	7.7	413	47571	Interferon-inducible GTPase 1 OS=Mus musculus OX=10090 GN=Iigp1 PE=1 SV=2	2	2	1.000	2	2	2.000
4976	1	sp|Q9QZ88|VPS29_MOUSE	 	 	 	 	40.7	182	20495	Vacuolar protein sorting-associated protein 29 OS=Mus musculus OX=10090 GN=Vps29 PE=1 SV=1	12	12	1.000	12	12	12.000
4977	1	sp|Q9QZB7|ARP10_MOUSE	 	 	 	 	7.4	417	46207	Actin-related protein 10 OS=Mus musculus OX=10090 GN=Actr10 PE=1 SV=2	4	4	1.000	4	4	4.000
4978	1	sp|Q9QZB9|DCTN5_MOUSE	 	 	 	 	23.6	182	20140	Dynactin subunit 5 OS=Mus musculus OX=10090 GN=Dctn5 PE=1 SV=1	5	5	1.000	5	5	5.000
4979	1	sp|Q9QZC2|PLXC1_MOUSE	 	 	sp|B2RXS4|PLXB2_MOUSE, sp|Q3UH93|PLXD1_MOUSE, sp|Q9QZC2|PLXC1_MOUSE	 	3.4	1574	176472	Plexin-C1 OS=Mus musculus OX=10090 GN=Plxnc1 PE=1 SV=1	5	3	0.600	5	3	3.353
4980	1	sp|Q9QZD8|DIC_MOUSE	 	 	 	 	33.1	287	31715	Mitochondrial dicarboxylate carrier OS=Mus musculus OX=10090 GN=Slc25a10 PE=1 SV=2	8	8	1.000	8	8	8.000
4981	1	sp|Q9QZD9|EIF3I_MOUSE	 	 	 	 	74.2	325	36460	Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus OX=10090 GN=Eif3i PE=1 SV=1	36	36	1.000	36	36	36.000
4982	1	sp|Q9QZE5|COPG1_MOUSE	 	 	 	 	26.4	874	97512	Coatomer subunit gamma-1 OS=Mus musculus OX=10090 GN=Copg1 PE=1 SV=1	36	36	1.000	36	36	36.000
4983	1	sp|Q9QZE7|TSNAX_MOUSE	 	 	 	 	37.9	290	32926	Translin-associated protein X OS=Mus musculus OX=10090 GN=Tsnax PE=1 SV=1	12	12	1.000	12	12	12.000
4984	1	sp|Q9QZF2|GPC1_MOUSE	 	 	 	 	11.1	557	61359	Glypican-1 OS=Mus musculus OX=10090 GN=Gpc1 PE=1 SV=1	5	5	1.000	5	5	5.000
4985	1	sp|Q9QZH3|PPIE_MOUSE	 	 	sp|Q99KR7|PPIF_MOUSE, sp|Q9QZH3|PPIE_MOUSE	 	22.3	301	33448	Peptidyl-prolyl cis-trans isomerase E OS=Mus musculus OX=10090 GN=Ppie PE=1 SV=2	9	8	0.889	9	8	8.444
4986	1	sp|Q9QZH6|ECSIT_MOUSE	 	 	 	 	9.0	435	49798	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial OS=Mus musculus OX=10090 GN=Ecsit PE=1 SV=2	4	4	1.000	4	4	4.000
4987	1	sp|Q9QZK7|DOK3_MOUSE	 	 	 	 	38.1	444	48027	Docking protein 3 OS=Mus musculus OX=10090 GN=Dok3 PE=1 SV=1	17	17	1.000	17	17	17.000
4988	1	sp|Q9QZL0|RIPK3_MOUSE	 	 	 	 	23.7	486	53322	Receptor-interacting serine/threonine-protein kinase 3 OS=Mus musculus OX=10090 GN=Ripk3 PE=1 SV=2	11	11	1.000	11	11	11.000
4989	1	sp|Q9QZM0|UBQL2_MOUSE	 	 	sp|Q8R317|UBQL1_MOUSE, sp|Q99NB8|UBQL4_MOUSE, sp|Q9QZM0|UBQL2_MOUSE	 	10.7	638	67350	Ubiquilin-2 OS=Mus musculus OX=10090 GN=Ubqln2 PE=1 SV=2	12	5	0.417	12	5	8.061
4990	1	sp|Q9QZN4|FBX6_MOUSE	 	 	 	 	11.2	295	34492	F-box only protein 6 OS=Mus musculus OX=10090 GN=Fbxo6 PE=1 SV=1	3	3	1.000	3	3	3.000
4991	1	sp|Q9QZQ1|AFAD_MOUSE	 	 	 	 	6.3	1820	206496	Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=3	8	8	1.000	8	8	8.000
4992	1	sp|Q9QZQ8|H2AY_MOUSE	 	 	 	 	53.0	372	39735	Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=H2afy PE=1 SV=3	56	56	1.000	56	56	56.000
4993	1	sp|Q9QZR0|RNF25_MOUSE	 	 	 	 	5.5	456	51226	E3 ubiquitin-protein ligase RNF25 OS=Mus musculus OX=10090 GN=Rnf25 PE=1 SV=2	2	2	1.000	2	2	2.000
4994	1	sp|Q9QZS3|NUMB_MOUSE	 	 	 	 	4.9	653	70812	Protein numb homolog OS=Mus musculus OX=10090 GN=Numb PE=1 SV=1	3	3	1.000	3	3	3.000
4995	1	sp|Q9QZS8|SH2D3_MOUSE	 	 	 	 	5.4	854	94322	SH2 domain-containing protein 3C OS=Mus musculus OX=10090 GN=Sh2d3c PE=1 SV=1	3	3	1.000	3	3	3.000
4996	1	sp|Q9QZV9|NXT1_MOUSE	 	 	 	 	25.0	140	15847	NTF2-related export protein 1 OS=Mus musculus OX=10090 GN=Nxt1 PE=1 SV=2	3	3	1.000	3	3	3.000
4997	1	sp|Q9QZW0|AT11C_MOUSE	 	 	 	 	5.8	1129	129239	Phospholipid-transporting ATPase 11C OS=Mus musculus OX=10090 GN=Atp11c PE=1 SV=2	6	6	1.000	6	6	6.000
4998	1	sp|Q9R002|IFI2_MOUSE	 	 	 	 	25.8	445	50466	Interferon-activable protein 202 OS=Mus musculus OX=10090 GN=Ifi202 PE=1 SV=3	13	13	1.000	13	13	13.000
4999	1	sp|Q9R007|CLC5A_MOUSE	 	 	 	 	14.7	190	21695	C-type lectin domain family 5 member A OS=Mus musculus OX=10090 GN=Clec5a PE=1 SV=2	6	6	1.000	6	6	6.000
5000	1	sp|Q9R008|KIME_MOUSE	 	 	 	 	5.8	395	41877	Mevalonate kinase OS=Mus musculus OX=10090 GN=Mvk PE=1 SV=1	2	2	1.000	2	2	2.000
5001	1	sp|Q9R020|ZRAB2_MOUSE	 	 	 	 	22.7	330	37350	Zinc finger Ran-binding domain-containing protein 2 OS=Mus musculus OX=10090 GN=Zranb2 PE=1 SV=2	6	6	1.000	6	6	6.000
5002	1	sp|Q9R049|AMFR_MOUSE	 	 	 	 	11.7	643	73104	E3 ubiquitin-protein ligase AMFR OS=Mus musculus OX=10090 GN=Amfr PE=1 SV=2	5	5	1.000	5	5	5.000
5003	1	sp|Q9R059|FHL3_MOUSE	 	 	 	 	28.7	289	31794	Four and a half LIM domains protein 3 OS=Mus musculus OX=10090 GN=Fhl3 PE=1 SV=2	8	8	1.000	8	8	8.000
5004	1	sp|Q9R060|NUBP1_MOUSE	 	 	 	 	18.1	320	34085	Cytosolic Fe-S cluster assembly factor NUBP1 OS=Mus musculus OX=10090 GN=Nubp1 PE=1 SV=1	6	6	1.000	6	6	6.000
5005	1	sp|Q9R061|NUBP2_MOUSE	 	 	 	 	24.4	275	29518	Cytosolic Fe-S cluster assembly factor NUBP2 OS=Mus musculus OX=10090 GN=Nubp2 PE=1 SV=1	8	8	1.000	8	8	8.000
5006	1	sp|Q9R062|GLYG_MOUSE	 	 	 	 	21.9	333	37402	Glycogenin-1 OS=Mus musculus OX=10090 GN=Gyg1 PE=1 SV=3	16	16	1.000	16	16	16.000
5007	1	sp|Q9R078|AAKB1_MOUSE	 	 	 	 	8.5	270	30308	5'-AMP-activated protein kinase subunit beta-1 OS=Mus musculus OX=10090 GN=Prkab1 PE=1 SV=2	2	2	1.000	2	2	2.000
5008	1	sp|Q9R099|TBL2_MOUSE	 	 	 	 	42.5	442	49583	Transducin beta-like protein 2 OS=Mus musculus OX=10090 GN=Tbl2 PE=1 SV=2	17	17	1.000	17	17	17.000
5009	1	sp|Q9R0A0|PEX14_MOUSE	 	 	 	 	5.6	376	41207	Peroxisomal membrane protein PEX14 OS=Mus musculus OX=10090 GN=Pex14 PE=1 SV=1	2	2	1.000	2	2	2.000
